env=blobwars  ckpt=runs/stage2_2b_btn/plan_stage1_600.pt  A=2  H=18  cfg=8.0
plan_mode=GENERATED per re-infer
per_row=0.033s  objective=You are a run-and-gun hero. What should the agent do next to advance and shoot enemies?

# re-plan#00  plan='Click Start New Game'
  exec0: stick=(+0.02,+0.03) buttons=Y,RT/accel,Start  state={}
  exec1: stick=(-0.07,+0.19) buttons=X/shoot,Y,RT/accel,Start  state={}
# re-plan#01  plan='Click Start New Game'
  exec0: stick=(+1.10,+0.48) buttons=RT/accel  state={}
  exec1: stick=(+1.08,+0.43) buttons=RT/accel  state={}
# re-plan#02  plan='Click Start New Game'
  exec0: stick=(+1.21,+0.87) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+1.22,+0.93) buttons=X/shoot,RT/accel,Start  state={}
# re-plan#03  plan='Click Start New Game'
  exec0: stick=(+1.00,+0.16) buttons=A/jump,Y,RT/accel  state={}
  exec1: stick=(+1.05,+0.21) buttons=A/jump,X/shoot,RT/accel  state={}
# re-plan#04  plan='Click Start New Game'
  exec0: stick=(+0.01,+0.31) buttons=X/shoot,B,RT/accel  state={}
  exec1: stick=(+0.05,+0.36) buttons=X/shoot,B,RT/accel  state={}
# re-plan#05  plan='Click Start New Game'
  exec0: stick=(-0.55,+0.52) buttons=A/jump,X/shoot,RT/accel  state={}
  exec1: stick=(-0.19,+0.74) buttons=A/jump,X/shoot,Y,RT/accel  state={}
# re-plan#06  plan='Click Start New Game'
  exec0: stick=(+1.16,+0.53) buttons=A/jump,B,RT/accel  state={}
  exec1: stick=(+1.14,+0.56) buttons=A/jump,B,RT/accel  state={}
# re-plan#07  plan='Click Start New Game'
  exec0: stick=(+1.01,-0.17) buttons=A/jump,X/shoot,B,RT/accel,Start  state={}
  exec1: stick=(+0.98,+0.12) buttons=A/jump,X/shoot,B,Y,RT/accel,Start  state={}
# re-plan#08  plan='Click Start New Game'
  exec0: stick=(+1.81,+1.79) buttons=RT/accel  state={}
  exec1: stick=(+1.52,+1.31) buttons=RT/accel  state={}
# re-plan#09  plan='Click Start New Game'
  exec0: stick=(+1.34,+1.06) buttons=X/shoot,Y,RT/accel  state={}
  exec1: stick=(+1.51,+1.27) buttons=X/shoot,Y,RT/accel  state={}
# re-plan#10  plan='Click Start New Game'
  exec0: stick=(+0.99,+0.40) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+1.04,+0.37) buttons=X/shoot,RT/accel,LB  state={}
# re-plan#11  plan='Click Start New Game'
  exec0: stick=(+0.31,+1.35) buttons=A/jump,Y,RT/accel  state={}
  exec1: stick=(+0.61,+1.75) buttons=A/jump,Y,RT/accel  state={}
# re-plan#12  plan='Click Start New Game'
  exec0: stick=(+0.97,+0.30) buttons=A/jump,X/shoot,B,Y,RT/accel  state={}
  exec1: stick=(+0.94,+0.26) buttons=A/jump,X/shoot,B,Y,RT/accel  state={}
# re-plan#13  plan='Click Start New Game'
  exec0: stick=(+1.04,+0.20) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+1.02,+0.24) buttons=X/shoot,RT/accel  state={}
# re-plan#14  plan='Click Start New Game'
  exec0: stick=(+1.25,-0.22) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+1.16,-0.05) buttons=A/jump,X/shoot,RT/accel  state={}
# re-plan#15  plan='Click Start New Game'
  exec0: stick=(+1.66,+1.73) buttons=X/shoot,RT/accel,Dr  state={}
  exec1: stick=(+1.49,+1.11) buttons=A/jump,X/shoot,RT/accel,Dr  state={}
# re-plan#16  plan='Click Start New Game'
  exec0: stick=(+0.92,-0.12) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+0.85,-0.11) buttons=X/shoot,RT/accel  state={}
# re-plan#17  plan='Click Start New Game'
  exec0: stick=(+1.21,-0.23) buttons=A/jump,Y,RT/accel  state={}
  exec1: stick=(+1.24,-0.28) buttons=A/jump,Y,RT/accel  state={}
# re-plan#18  plan='Click Start New Game'
  exec0: stick=(+1.15,+0.27) buttons=X/shoot,B,Y,RT/accel  state={}
  exec1: stick=(+1.09,+0.34) buttons=X/shoot,B,RT/accel  state={}
# re-plan#19  plan='Click Start New Game'
  exec0: stick=(+1.16,+0.51) buttons=B,LB  state={}
  exec1: stick=(+1.17,+0.51) buttons=B,LB  state={}
