env=stk  ckpt=runs/stage2_2b_btn/plan_stage1_600.pt  A=4  H=18  cfg=8.0
plan_mode=GENERATED per re-infer
per_row=0.033s  objective=You are driving a kart. What should the agent do next to stay on the track and race well?

# re-plan#00  plan='The agent should right to stay on the track and race well, as the kart is currently positioned slightly off the path and moving toward the finish line.'
  exec0: stick=(+0.95,+0.49) buttons=B  state={}
  exec1: stick=(+0.96,+0.50) buttons=B  state={}
  exec2: stick=(+0.97,+0.48) buttons=B  state={}
  exec3: stick=(+0.97,+0.54) buttons=B  state={}
# re-plan#01  plan='The agent should move right, as the track curves in that direction and moving right will keep the kart on the path.'
  exec0: stick=(+1.01,+0.10) buttons=A/jump,X/shoot  state={}
  exec1: stick=(+0.99,+0.15) buttons=-  state={}
  exec2: stick=(+1.02,+0.10) buttons=LT/brake,Dl  state={}
  exec3: stick=(+1.05,+0.12) buttons=X/shoot,LT/brake,Dl  state={}
# re-plan#02  plan='left'
  exec0: stick=(-1.17,-1.03) buttons=B,RT/accel  state={}
  exec1: stick=(-1.24,-0.47) buttons=B,RT/accel  state={}
  exec2: stick=(-1.00,-0.42) buttons=B,RT/accel  state={}
  exec3: stick=(-1.10,-0.96) buttons=B,RT/accel  state={}
# re-plan#03  plan='The agent should move left to stay on the track and avoid the obstacle.'
  exec0: stick=(+0.14,+0.78) buttons=B,RT/accel  state={}
  exec1: stick=(+0.15,+0.77) buttons=B,RT/accel  state={}
  exec2: stick=(+0.19,+0.81) buttons=B,RT/accel  state={}
  exec3: stick=(+0.25,+0.93) buttons=B,RT/accel  state={}
# re-plan#04  plan='The agent should move left to stay on the track and avoid the obstacle ahead.'
  exec0: stick=(+0.40,+0.86) buttons=-  state={}
  exec1: stick=(+0.51,+0.90) buttons=-  state={}
  exec2: stick=(+0.59,+0.93) buttons=-  state={}
  exec3: stick=(+0.56,+0.92) buttons=-  state={}
# re-plan#05  plan='The agent should move left to avoid the large bush in the center of the screen, which is likely an obstacle or hazard that could cause a crash.'
  exec0: stick=(-0.07,+0.31) buttons=B,RT/accel  state={}
  exec1: stick=(-0.08,+0.34) buttons=B,RT/accel  state={}
  exec2: stick=(-0.08,+0.74) buttons=B,RT/accel  state={}
  exec3: stick=(-0.05,+0.84) buttons=B,Y  state={}
# re-plan#06  plan='The agent should move left to avoid the large bush directly in front of the kart, which is blocking the path and could cause a collision.'
  exec0: stick=(+0.53,+1.00) buttons=A/jump,X/shoot,B,RT/accel  state={}
  exec1: stick=(+0.58,+1.05) buttons=X/shoot,B,RT/accel  state={}
  exec2: stick=(+0.62,+1.04) buttons=X/shoot,B,Y,RT/accel  state={}
  exec3: stick=(+0.60,+1.05) buttons=X/shoot,Y,RT/accel  state={}
# re-plan#07  plan='The agent should move left to stay on the track and avoid the obstacle ahead.'
  exec0: stick=(+0.11,+0.79) buttons=-  state={}
  exec1: stick=(+0.47,+0.95) buttons=-  state={}
  exec2: stick=(+0.47,+0.97) buttons=-  state={}
  exec3: stick=(+0.47,+0.99) buttons=-  state={}
# re-plan#08  plan='The agent should move left because the kart is currently off the track and needs to reposition to stay on the path.'
  exec0: stick=(+0.54,+1.04) buttons=-  state={}
  exec1: stick=(+0.54,+1.09) buttons=-  state={}
  exec2: stick=(+0.54,+1.07) buttons=-  state={}
  exec3: stick=(+0.50,+1.07) buttons=-  state={}
# re-plan#09  plan='The agent should move left to avoid the large bush in the center of the screen, which is likely an obstacle or hazard that could cause a crash.'
  exec0: stick=(+0.33,+0.92) buttons=-  state={}
  exec1: stick=(+0.31,+0.92) buttons=-  state={}
  exec2: stick=(+0.30,+0.89) buttons=-  state={}
  exec3: stick=(+0.47,+0.90) buttons=-  state={}
# re-plan#10  plan='The agent should move left to stay on the track and avoid the oncoming kart, as indicated by the white line on the minimap.'
  exec0: stick=(+0.22,+0.52) buttons=A/jump,X/shoot,RT/accel,Dn  state={}
  exec1: stick=(+0.61,+0.49) buttons=A/jump,X/shoot,B,RT/accel,Dn  state={}
  exec2: stick=(+0.31,+0.35) buttons=X/shoot,B,RT/accel  state={}
  exec3: stick=(+0.02,+0.26) buttons=X/shoot,RT/accel  state={}
# re-plan#11  plan='The agent should move left to stay on the track and avoid the obstacle ahead.'
  exec0: stick=(+0.45,+1.00) buttons=A/jump,B,Y,RT/accel,LB  state={}
  exec1: stick=(+0.48,+1.02) buttons=A/jump,B,Y,RT/accel,LB  state={}
  exec2: stick=(+0.59,+1.02) buttons=A/jump,B,Y,RT/accel,LB  state={}
  exec3: stick=(+0.66,+1.00) buttons=B,Y,RT/accel  state={}
# re-plan#12  plan='The agent should move left to stay on the track and avoid the oncoming kart, as indicated by the white line on the minimap.'
  exec0: stick=(+0.53,+0.87) buttons=-  state={}
  exec1: stick=(+0.52,+0.96) buttons=-  state={}
  exec2: stick=(+0.51,+0.99) buttons=X/shoot  state={}
  exec3: stick=(+0.52,+1.03) buttons=X/shoot  state={}
# re-plan#13  plan='The agent should move left to avoid the large bush in the center of the screen, which is likely an obstacle or hazard that could cause a crash.'
  exec0: stick=(+0.94,+0.27) buttons=B,Y,RT/accel,Dr  state={}
  exec1: stick=(+0.89,+0.23) buttons=B,Y,RT/accel,Start  state={}
  exec2: stick=(+0.92,+0.23) buttons=A/jump,B,Y,RT/accel  state={}
  exec3: stick=(+0.95,+0.34) buttons=A/jump,B,Y,RT/accel,Start  state={}
# re-plan#14  plan='The agent should move left because the kart is currently off the track, as indicated by the red circle on the minimap.'
  exec0: stick=(+0.91,+0.78) buttons=A/jump,B,RT/accel  state={}
  exec1: stick=(+0.89,+0.82) buttons=A/jump,B,RT/accel  state={}
  exec2: stick=(+0.89,+0.83) buttons=A/jump,B,RT/accel  state={}
  exec3: stick=(+0.88,+0.87) buttons=A/jump,B,RT/accel  state={}
# re-plan#15  plan='The agent should move left to stay on the track and avoid the obstacle ahead.'
  exec0: stick=(+0.65,+0.94) buttons=A/jump,B,Y  state={}
  exec1: stick=(+0.63,+0.98) buttons=A/jump,B,Y  state={}
  exec2: stick=(+0.56,+1.03) buttons=B,Y  state={}
  exec3: stick=(+0.46,+1.07) buttons=B  state={}
# re-plan#16  plan='The agent should move left because the kart is currently off the track, as indicated by the white line on the minimap.'
  exec0: stick=(+0.21,+0.56) buttons=A/jump,X/shoot,B,Y,RT/accel,LB  state={}
  exec1: stick=(+0.56,+0.48) buttons=A/jump,X/shoot,B,Y,RT/accel,LB  state={}
  exec2: stick=(+0.96,+1.03) buttons=A/jump,X/shoot,B,Y,RT/accel  state={}
  exec3: stick=(-0.00,+0.94) buttons=A/jump,B,Y,RT/accel  state={}
# re-plan#17  plan='The agent should move left to avoid the large obstacle directly in front of the kart.'
  exec0: stick=(-0.30,+1.43) buttons=A/jump,X/shoot,B,Dn  state={}
  exec1: stick=(-0.24,+1.40) buttons=A/jump,X/shoot,B,Dn  state={}
  exec2: stick=(-0.22,+1.40) buttons=A/jump,X/shoot,B,Dn  state={}
  exec3: stick=(-0.24,+1.43) buttons=A/jump,X/shoot,B,Dn  state={}
# re-plan#18  plan='The agent should move left because the kart is currently off the track, as indicated by the white line on the minimap.'
  exec0: stick=(-0.10,+0.84) buttons=A/jump,X/shoot,RT/accel  state={}
  exec1: stick=(-0.07,+0.84) buttons=A/jump,X/shoot,RT/accel  state={}
  exec2: stick=(-0.13,+0.87) buttons=X/shoot,RT/accel  state={}
  exec3: stick=(-0.18,+0.93) buttons=X/shoot,RT/accel  state={}
# re-plan#19  plan='The agent should move left to stay on the track and avoid the obstacle ahead.'
  exec0: stick=(-0.35,-0.15) buttons=A/jump,X/shoot,B,RT/accel  state={}
  exec1: stick=(-0.70,-0.31) buttons=A/jump,X/shoot,B,RT/accel  state={}
  exec2: stick=(-0.77,-0.50) buttons=X/shoot,RT/accel  state={}
  exec3: stick=(-0.47,-0.45) buttons=A/jump,X/shoot,RT/accel,LB  state={}
# re-plan#20  plan='The agent should move left to avoid the large bush in front of the kart.'
  exec0: stick=(+0.46,+1.18) buttons=A/jump,X/shoot,B  state={}
  exec1: stick=(+0.44,+1.19) buttons=A/jump,X/shoot,B  state={}
  exec2: stick=(+0.43,+1.21) buttons=X/shoot  state={}
  exec3: stick=(+0.46,+1.17) buttons=X/shoot  state={}
# re-plan#21  plan='The agent should move left to stay on the track and avoid the obstacle ahead.'
  exec0: stick=(+0.41,+1.10) buttons=A/jump,X/shoot,RT/accel  state={}
  exec1: stick=(+0.47,+1.11) buttons=A/jump,X/shoot,RT/accel  state={}
  exec2: stick=(+0.54,+1.14) buttons=A/jump,X/shoot,RT/accel  state={}
  exec3: stick=(+0.45,+1.13) buttons=A/jump,X/shoot,RT/accel  state={}
# re-plan#22  plan='The agent should move left to stay on the track and avoid the obstacle ahead.'
  exec0: stick=(+0.66,+0.61) buttons=A/jump,B,RT/accel,LB  state={}
  exec1: stick=(+0.62,+0.63) buttons=A/jump,B,RT/accel  state={}
  exec2: stick=(+0.58,+0.62) buttons=-  state={}
  exec3: stick=(+0.15,+0.67) buttons=X/shoot,LB  state={}
# re-plan#23  plan='The agent should move left to stay on the track and avoid the large obstacle directly in front of the kart.'
  exec0: stick=(+0.24,+2.06) buttons=X/shoot,B,Y,RT/accel,LB  state={}
  exec1: stick=(+0.24,+1.85) buttons=X/shoot,B,Y,RT/accel,LB  state={}
  exec2: stick=(+0.01,+1.54) buttons=X/shoot,RT/accel,LB  state={}
  exec3: stick=(+0.10,+1.34) buttons=X/shoot,RT/accel  state={}
# re-plan#24  plan='The agent should move left to stay on the track and avoid the obstacle ahead.'
  exec0: stick=(+0.50,+1.10) buttons=A/jump,B,RT/accel  state={}
  exec1: stick=(+0.49,+1.11) buttons=A/jump,B,RT/accel  state={}
  exec2: stick=(+0.47,+1.10) buttons=A/jump,B,RT/accel  state={}
  exec3: stick=(+0.42,+1.10) buttons=A/jump,B,RT/accel  state={}
# re-plan#25  plan='The agent should move left to stay on the track and avoid the oncoming kart, as indicated by the white line on the minimap.'
  exec0: stick=(+0.63,+1.14) buttons=A/jump,X/shoot,RT/accel,Dl  state={}
  exec1: stick=(+0.53,+1.17) buttons=A/jump,X/shoot,RT/accel,Dl  state={}
  exec2: stick=(+0.46,+1.17) buttons=A/jump,X/shoot,RT/accel,Dl  state={}
  exec3: stick=(+0.42,+1.19) buttons=A/jump,X/shoot,RT/accel,Dl  state={}
# re-plan#26  plan='The agent should move left to stay on the track and avoid the large obstacle ahead.'
  exec0: stick=(+0.55,+0.99) buttons=B,Y  state={}
  exec1: stick=(+0.68,+1.02) buttons=A/jump,B,Y  state={}
  exec2: stick=(+0.89,+1.02) buttons=A/jump,B,Y  state={}
  exec3: stick=(+0.46,+1.00) buttons=X/shoot,B,Y  state={}
# re-plan#27  plan='The agent should move left to avoid the oncoming kart and maintain a safe distance from the obstacle.'
  exec0: stick=(+0.22,+1.10) buttons=A/jump,B,Y,RT/accel,LB  state={}
  exec1: stick=(+0.19,+1.13) buttons=A/jump,B,Y,RT/accel,LB  state={}
  exec2: stick=(+0.12,+1.16) buttons=A/jump,B,Y,RT/accel  state={}
  exec3: stick=(+0.06,+1.32) buttons=A/jump,B,Y,RT/accel  state={}
# re-plan#28  plan='The agent should move left to stay on the track and avoid the obstacle ahead.'
  exec0: stick=(-0.18,+1.06) buttons=B  state={}
  exec1: stick=(-0.21,+1.05) buttons=B  state={}
  exec2: stick=(-0.19,+1.06) buttons=X/shoot  state={}
  exec3: stick=(-0.19,+1.03) buttons=X/shoot  state={}
# re-plan#29  plan='The agent should move left to stay on the track and avoid the oncoming kart, as indicated by the white line on the minimap.'
  exec0: stick=(+0.37,+0.95) buttons=-  state={}
  exec1: stick=(+0.40,+0.98) buttons=A/jump  state={}
  exec2: stick=(+0.46,+1.00) buttons=A/jump  state={}
  exec3: stick=(+0.34,+0.99) buttons=-  state={}
