env=stk  ckpt=runs/stage2_2b_btn/plan_stage1_600.pt  A=4  H=18  cfg=8.0
plan_mode=GENERATED per re-infer
per_row=0.033s  objective=You are driving a kart. What should the agent do next to stay on the track and race well?

# re-plan#00  plan='Steer left to follow the track'  state={}
  exec0: stick=(+0.47,+0.50) buttons=RT/accel
  exec1: stick=(+0.49,+0.50) buttons=RT/accel
  exec2: stick=(+0.51,+0.51) buttons=RT/accel
  exec3: stick=(+0.53,+0.51) buttons=RT/accel
# re-plan#01  plan='Steer left to avoid the obstacle'  state={}
  exec0: stick=(+0.55,+0.25) buttons=A/jump
  exec1: stick=(+0.98,+0.34) buttons=A/jump
  exec2: stick=(+0.97,+0.32) buttons=-
  exec3: stick=(+0.96,+0.29) buttons=-
# re-plan#02  plan='Steer left to follow the track'  state={}
  exec0: stick=(+0.00,+0.65) buttons=RT/accel
  exec1: stick=(-0.01,+0.66) buttons=RT/accel
  exec2: stick=(-0.01,+0.69) buttons=RT/accel
  exec3: stick=(+0.00,+0.72) buttons=RT/accel
# re-plan#03  plan='Steer left to follow the track'  state={}
  exec0: stick=(+0.51,+0.76) buttons=RT/accel
  exec1: stick=(+0.93,+0.51) buttons=RT/accel
  exec2: stick=(+0.94,+0.48) buttons=RT/accel
  exec3: stick=(+0.91,+0.46) buttons=RT/accel
# re-plan#04  plan='Steer left to follow the track'  state={}
  exec0: stick=(+0.93,+0.34) buttons=RT/accel
  exec1: stick=(+0.95,+0.37) buttons=RT/accel
  exec2: stick=(+0.95,+0.43) buttons=RT/accel
  exec3: stick=(+0.82,+0.76) buttons=RT/accel
# re-plan#05  plan='Steer left to avoid the wall'  state={}
  exec0: stick=(+0.33,+0.59) buttons=RT/accel
  exec1: stick=(+0.31,+0.63) buttons=RT/accel
  exec2: stick=(+0.31,+0.60) buttons=RT/accel
  exec3: stick=(+0.33,+0.59) buttons=RT/accel
# re-plan#06  plan='Steer left to avoid the wall'  state={}
  exec0: stick=(+0.41,+1.03) buttons=-
  exec1: stick=(+0.41,+1.05) buttons=-
  exec2: stick=(+0.46,+1.04) buttons=-
  exec3: stick=(+0.49,+1.04) buttons=-
# re-plan#07  plan='Steer left to avoid the obstacle'  state={}
  exec0: stick=(+0.49,+0.52) buttons=-
  exec1: stick=(+0.52,+0.53) buttons=-
  exec2: stick=(+0.51,+0.52) buttons=-
  exec3: stick=(+0.49,+0.52) buttons=-
# re-plan#08  plan='Steer left to follow the track'  state={}
  exec0: stick=(+0.48,+0.94) buttons=RT/accel
  exec1: stick=(+0.41,+0.94) buttons=RT/accel
  exec2: stick=(+0.42,+0.95) buttons=RT/accel
  exec3: stick=(+0.42,+0.96) buttons=RT/accel
# re-plan#09  plan='Steer left to follow the track'  state={}
  exec0: stick=(+0.91,+0.53) buttons=A/jump,RT/accel,Start
  exec1: stick=(+0.91,+0.50) buttons=A/jump,B,RT/accel,Start
  exec2: stick=(+0.93,+0.36) buttons=A/jump,B,RT/accel,LT/brake
  exec3: stick=(+0.90,+0.31) buttons=A/jump,B,RT/accel,LT/brake
