env=solarus_zelda  ckpt=runs/stage2_2b_btn/plan_stage1_600.pt  A=2  H=18  cfg=8.0
plan_mode=GENERATED per re-infer
per_row=0.033s  objective=You are a top-down adventurer. What should the agent do next to explore?

# re-plan#00  plan='Move forward to explore the area.'
  exec0: stick=(+0.07,-0.17) buttons=Y  state={}
  exec1: stick=(+0.06,-0.16) buttons=Y  state={}
# re-plan#01  plan='Move forward to explore the village.'
  exec0: stick=(+0.06,+0.93) buttons=B,LB  state={}
  exec1: stick=(+0.49,+1.02) buttons=-  state={}
# re-plan#02  plan='Move forward to explore the room.'
  exec0: stick=(+0.67,+0.01) buttons=X/shoot,Y  state={}
  exec1: stick=(+0.68,-0.01) buttons=X/shoot  state={}
# re-plan#03  plan='Move forward to explore the room.'
  exec0: stick=(-0.10,-0.17) buttons=A/jump,B,Dn  state={}
  exec1: stick=(-0.26,-0.28) buttons=A/jump,B  state={}
# re-plan#04  plan='Move forward to explore the room.'
  exec0: stick=(+0.28,+0.93) buttons=B  state={}
  exec1: stick=(+0.39,+0.95) buttons=B  state={}
# re-plan#05  plan='Move forward to explore the room.'
  exec0: stick=(+0.28,+0.94) buttons=B,RB  state={}
  exec1: stick=(+0.02,+1.09) buttons=B,Y  state={}
# re-plan#06  plan='Move forward to explore the room.'
  exec0: stick=(+0.80,-0.12) buttons=B,Y  state={}
  exec1: stick=(+0.83,-0.09) buttons=B,Y  state={}
# re-plan#07  plan='Move forward to explore the room.'
  exec0: stick=(+0.35,+1.27) buttons=A/jump,X/shoot,B,Dl  state={}
  exec1: stick=(+0.52,+1.31) buttons=A/jump,X/shoot,Y  state={}
# re-plan#08  plan='Move forward to explore the room.'
  exec0: stick=(+0.50,+1.06) buttons=LB  state={}
  exec1: stick=(+0.43,+1.02) buttons=LB  state={}
# re-plan#09  plan='Move forward to explore the room.'
  exec0: stick=(+0.85,+0.10) buttons=-  state={}
  exec1: stick=(+0.97,+0.21) buttons=B  state={}
# re-plan#10  plan='Press the left button to move forward.'
  exec0: stick=(+0.78,+0.02) buttons=A/jump,X/shoot,B  state={}
  exec1: stick=(+0.20,+0.05) buttons=A/jump,X/shoot,B  state={}
# re-plan#11  plan='Move forward to explore the area.'
  exec0: stick=(+0.04,-0.01) buttons=-  state={}
  exec1: stick=(+0.02,-0.04) buttons=LB  state={}
# re-plan#12  plan='Move forward to explore the area.'
  exec0: stick=(+0.76,-0.02) buttons=A/jump,X/shoot  state={}
  exec1: stick=(+0.73,-0.05) buttons=A/jump,X/shoot  state={}
# re-plan#13  plan='Move forward to explore the area.'
  exec0: stick=(+0.12,+0.43) buttons=-  state={}
  exec1: stick=(+0.12,+0.56) buttons=B  state={}
# re-plan#14  plan='Move forward to explore the area.'
  exec0: stick=(+0.47,-0.14) buttons=X/shoot  state={}
  exec1: stick=(+0.43,-0.11) buttons=-  state={}
# re-plan#15  plan='Move forward to explore the village.'
  exec0: stick=(+0.18,+1.12) buttons=A/jump,X/shoot  state={}
  exec1: stick=(+0.09,+1.16) buttons=A/jump,X/shoot  state={}
# re-plan#16  plan='Move forward to explore the area.'
  exec0: stick=(+0.25,+0.04) buttons=-  state={}
  exec1: stick=(+0.22,-0.00) buttons=A/jump  state={}
# re-plan#17  plan='Move forward to explore the village.'
  exec0: stick=(+0.66,-0.08) buttons=A/jump,B  state={}
  exec1: stick=(+0.59,-0.10) buttons=A/jump,B  state={}
# re-plan#18  plan='Move forward to explore the village.'
  exec0: stick=(+0.09,+0.79) buttons=B  state={}
  exec1: stick=(+0.10,+0.60) buttons=B  state={}
# re-plan#19  plan='Move forward to explore the area.'
  exec0: stick=(+1.00,+1.02) buttons=X/shoot  state={}
  exec1: stick=(+0.99,+1.11) buttons=X/shoot  state={}
